"TEAM","Points.For","Points.Against","Conf.Points.For","Conf.Points.Against","CONF.W","CONF.L","OVERALL.W","OVERALL.L","ConferenceOffset","Adjusted.SoS","First.Pass.SoS","SoS.Score","SoS.Ranking","Value","Rank"
"Texas State",168,285,58,108,0.186426217905705,0.813573782094295,0.222249573970389,0.777750426029611,0.975,0.419687775145924,0.421552585145996,0.181105674412328,116,0.281466813253201,127
"Texas Tech",352,307,169,177,0.472623678074938,0.527376321925062,0.58034181327481,0.41965818672519,1.0199203187251,0.496443717022783,0.513927940721389,0.4422285376756,64,0.569323454477262,56
"Toledo",289,157,108,72,0.723312432175503,0.276687567824497,0.809401920817885,0.190598079182115,0.984925005858917,0.397366866354568,0.3242219175049,0.105170190178572,121,0.637911552401884,29
"Troy",263,139,145,61,0.886158420607967,0.113841579392033,0.81925405855555,0.18074594144445,0.975,0.447918659364282,0.409911834451073,0.277146829524177,103,0.665736484257706,22
"Tulane",196,186,41,74,0.197900470327575,0.802099529672425,0.530988263492113,0.469011736507887,0.995521759117377,0.459879295146896,0.486469686506633,0.317836779847711,93,0.51383729945102,71
"Tulsa",278,225,124,105,0.597288850953076,0.402711149046924,0.622765747327811,0.377234252672189,0.995521759117377,0.478772070916541,0.476384518580299,0.382109793549701,79,0.571401619516335,55
"UCF",225,166,96,71,0.671494866274384,0.328505133725616,0.672771467190644,0.327228532809356,0.995521759117377,0.470712975056596,0.49273688088213,0.354692838786275,86,0.610015851813668,41
"UCLA",227,214,144,148,0.483771809746422,0.516228190253578,0.534885323952495,0.465114676047505,1.02160816194681,0.56476282433047,0.575096730969617,0.67464938327469,16,0.560136646526117,58
"UNLV",251,258,116,126,0.451161374194437,0.548838625805563,0.483708081789816,0.516291918210184,0.982557525002033,0.431476313939118,0.40482709103868,0.221210152685912,111,0.449435978652834,94
"USC",198,168,147,109,0.67014274679588,0.32985725320412,0.596137827406359,0.403862172593641,1.02160816194681,0.590724819544583,0.618302421300859,0.762971803149528,6,0.616567113466526,37
"Utah",239,173,161,137,0.594493661832663,0.405506338167337,0.682637114550517,0.317362885449483,1.02160816194681,0.459263100069105,0.400620527779087,0.315740491024888,94,0.601350832255935,45
"Utah State",178,170,92,99,0.456660254641292,0.543339745358708,0.52721924316466,0.47278075683534,0.982557525002033,0.455556777104477,0.419875941743261,0.303131621391645,98,0.482866245173928,84
"UTEP",146,275,87,146,0.22671649013746,0.77328350986254,0.182336081608062,0.817663918391938,0.982247931351517,0.488395670523407,0.522955873751797,0.414849172714323,75,0.29062360104045,126
"UTSA",205,198,137,130,0.53103458983335,0.46896541016665,0.520573574187738,0.479426425812262,0.982247931351517,0.403946536707493,0.389446948190374,0.127554155769673,118,0.468399363985166,87
"Vanderbilt",166,171,46,62,0.330167322368331,0.669832677631669,0.482424351648588,0.517575648351412,1.025,0.498186327578236,0.522063162541941,0.448156879464732,63,0.508028220828365,74
"Virginia",184,229,79,100,0.363857119686862,0.636142880313138,0.37319757625057,0.62680242374943,1.00947282299374,0.522754537042065,0.529406081690318,0.531737655670164,39,0.429295557819383,101
"Virginia Tech",251,125,137,50,0.915973889640175,0.0840261103598252,0.839190851709195,0.160809148290805,1.00947282299374,0.4937546505933,0.466541016427791,0.433080363496482,69,0.721747064368845,17
"Wake Forest",152,125,74,73,0.508060650422952,0.491939349577048,0.61384255066643,0.38615744933357,1.00947282299374,0.501324503396971,0.47578379756389,0.458832918806757,58,0.573201852750446,53
"Washington",338,102,190,72,0.908856195209744,0.0911438047902557,0.944769894445541,0.0552301055544591,1.02160816194681,0.3999989751009,0.293882493846003,0.114124594951105,120,0.743534008340245,10
"Washington State",283,184,157,102,0.735384758511217,0.264615241488783,0.735033252339487,0.264966747660513,1.02160816194681,0.491273399753109,0.481347459379642,0.424639175648063,70,0.664526811006419,23
"West Virginia",198,107,99,43,0.878295783129146,0.121704216870854,0.811316698442822,0.188683301557178,1.0199203187251,0.508482607851311,0.538630551511504,0.483184710797711,52,0.734772338366096,11
"Western Kentucky",272,229,201,136,0.716230662449013,0.283769337550987,0.600567379312361,0.399432620687639,0.982247931351517,0.531791177545307,0.558905515810335,0.562480206471939,36,0.57626530621973,52
"Western Michigan",355,154,180,71,0.900675827274759,0.099324172725241,0.878610947411178,0.121389052588822,0.984925005858917,0.471948888207811,0.448791534149865,0.358897401624001,85,0.724252596485105,16
"Wisconsin",170,100,77,59,0.652728666160254,0.347271333839746,0.778610780604855,0.221389219395145,1.02003770631759,0.631102497246172,0.681863792904318,0.900336215018459,4,0.761317162953258,9
"Wyoming",241,212,115,77,0.721249959665599,0.278750040334401,0.575385673204961,0.424614326795039,0.982557525002033,0.474238776433198,0.481556955018735,0.366687575978516,83,0.534618818614171,67
