Date,Visitor.Team,Visitor.Rushing.Yards,Visitor.Rushing.Attempts,Visitor.Passing.Yards,Visitor.Passing.Attempts,Visitor.Passing.Completions,Visitor.Penalties,Visitor.Penalty.Yards,Visitor.Fumbles.Lost,Visitor.Interceptions.Thrown,Visitor.1st.Downs,Visitor.3rd.Down.Attempts,Visitor.3rd.Down.Conversions,Visitor.4th.Down.Attempts,Visitor.4th.Down.conversions,Visitor.Time.of.Possession,Visitor.Score,Home.Team,Home.Rushing.Yards,Home.Rushing.Attempts,Home.Passing.Yards,Home.Passing.Attempts,Home.Passing.Completions,Home.Penalties,Home.Penalty.Yards,Home.Fumbles.Lost,Home.Interceptions.Thrown,Home.1st.Downs,Home.3rd.Down.Attempts,Home.3rd.Down.Conversions,Home.4th.Down.Attempts,Home.4th.Down.conversions,Home.Time.of.Possession,Home.Score
9/30/2006, California,142,33,341,31,22,4,25,0,1,8,13,8,1,1,1752,41, Oregon State,56,24,244,34,23,7,48,1,0,5,13,5,2,1,1848,13
9/30/2006, Central Michigan,147,34,411,47,26,6,45,3,1,9,15,7,3,1,1836,36, Kentucky,107,31,266,32,20,2,15,1,1,6,12,5,1,0,1764,45
9/30/2006, Colorado State,54,44,248,23,15,5,63,2,0,6,17,7,1,1,2040,35, Fresno State,115,23,205,42,19,5,17,0,3,5,13,2,2,0,1550,23
9/30/2006, Colorado,183,36,190,27,13,6,56,0,0,10,12,3,5,0,1694,13, Missouri,100,40,253,37,23,5,60,0,2,5,18,11,1,0,1906,28
9/30/2006, Eastern Illinois,234,40,57,21,8,3,25,0,3,11,13,5,1,0,1955,9, Hawai'i,42,17,529,51,35,5,60,1,1,4,10,7,2,0,1645,44
9/30/2006, Eastern Michigan,75,24,171,35,23,9,67,1,0,5,12,2,4,1,1750,14, Louisiana-Lafayette,179,41,202,23,17,4,34,0,0,8,11,0,4,3,1850,33
9/30/2006, Florida Atlantic,151,38,185,19,13,5,31,0,0,10,10,3,1,1,1868,21, Louisiana-Monroe,122,28,285,38,23,6,57,0,2,4,14,5,3,2,1732,19
9/30/2006, Georgia Tech,149,36,176,17,9,8,83,0,2,7,12,5,0,0,1720,38, Virginia Tech,42,27,339,54,27,5,28,2,0,5,17,8,0,0,1880,27
9/30/2006, Georgia,133,33,115,28,11,7,69,0,0,9,15,4,1,1,1826,14, Mississippi,156,42,87,15,6,2,20,0,1,12,11,2,1,0,1774,9
9/30/2006, Houston,80,25,196,28,18,7,35,1,0,6,12,3,2,2,1760,13, Miami (Florida),230,42,190,27,16,10,90,0,2,14,13,6,1,1,1840,14
