"TEAM","WIN.PERC","WIN.MULT","SoS.MULT","SIM.WINS","SIM.LOSSES","SIM.PERC","RANK.SCORE","RANK","SIMURANK","ALT.RANK.SCORE","ALT.RANK"
"Nevada",0.390861745665277,0.695430872832638,0.762001367702745,5519,26231,0.173826771653543,0.0921141570259872,116,117,0.256500380404263,110
"New Mexico",0.486687979608238,0.743343989804119,0.755032295290056,3776,27974,0.118929133858268,0.0667488240073584,123,125,0.284619806175215,108
"New Mexico State",0.264509601555027,0.632254800777513,0.816376042648286,7361,24389,0.231842519685039,0.119667295278569,112,110,0.221240374401658,113
"North Carolina",0.548000029166424,0.774000014583212,0.863821560340606,15013,16737,0.472850393700787,0.316146780384811,71,70,0.473199624741088,73
"North Carolina State",0.826432840527704,0.913216420263852,0.857324959447716,23031,8719,0.725385826771654,0.567921414832994,24,27,0.714142943251667,21
"North Texas",0.43864960242246,0.71932480121123,0.82041774027818,7837,23913,0.246834645669291,0.145668683166382,106,106,0.322195492285335,99
"Northern Illinois",0.313255413778263,0.656627706889132,0.903171545555311,13960,17790,0.439685039370079,0.260754096187765,79,77,0.335177263933815,96
"Northwestern",0.523451195340668,0.761725597670334,0.972230007736001,22432,9318,0.70651968503937,0.523229037943668,28,28,0.574783201476775,42
"Notre Dame",0.577646531195952,0.788823265597976,0.867833128709567,16707,15043,0.526204724409449,0.36022236988569,58,59,0.509602105773824,60
"Ohio",0.622816770592719,0.81140838529636,0.763774926065727,11551,20199,0.363811023622047,0.225465835164585,91,91,0.438398229815315,79
"Ohio State",0.977664605650851,0.988832302825425,0.838116897275098,30444,1306,0.958866141732283,0.794667086060469,3,2,0.86588686448661,2
"Oklahoma",0.567549525761712,0.783774762880856,0.942255361174185,23313,8437,0.734267716535433,0.542268436589154,27,24,0.601273627765704,35
"Oklahoma State",0.696085647689255,0.848042823844628,0.836748966395892,19519,12231,0.614771653543307,0.436241323724193,42,43,0.593223181999102,37
"Old Dominion",0.66414177276322,0.83207088638161,0.790378586269894,16166,15584,0.509165354330709,0.334853109967749,65,63,0.519670741736486,56
"Ole Miss",0.691378571772858,0.845689285886429,0.925211067162455,25649,6101,0.807842519685039,0.632089178970964,15,15,0.695728244030493,23
"Oregon",0.425147366918127,0.712573683459063,0.944898427684575,20937,10813,0.659433070866142,0.444002718137369,39,32,0.487625075978831,69
"Oregon State",0.388159268638259,0.69407963431913,0.904340912516794,12486,19264,0.393259842519685,0.246843150825371,85,84,0.365105485641345,88
"Penn State",0.540098589200216,0.770049294600108,0.969058878831423,23240,8510,0.731968503937008,0.546211810553365,26,25,0.592914390184865,38
"Pittsburgh",0.599326757821071,0.799663378910535,0.86261034085264,16567,15183,0.521795275590551,0.359933285253696,59,62,0.518588731094278,57
"Purdue",0.390015774537957,0.695007887268978,0.787371221301168,4865,26885,0.153228346456693,0.0838510268298537,119,122,0.255800913302012,111
"Rice",0.163693827007477,0.581846913503739,0.930667790371215,6480,25270,0.204094488188976,0.110518426928659,113,112,0.16959454424863,123
"Rutgers",0.133470026563299,0.56673501328165,0.955252907019621,5778,25972,0.181984251968504,0.0985217733535855,115,114,0.145659837905886,125
"San Diego State",0.702126022779251,0.851063011389625,0.768590699213347,16084,15666,0.506582677165354,0.331365412461007,66,64,0.528625912910979,52
"San Jose State",0.279652514138599,0.6398262570693,0.812071143872638,2399,29351,0.0755590551181102,0.0392593093750796,128,128,0.176584843068298,122
"SMU",0.306947608460401,0.6534738042302,0.879896184276918,10609,21141,0.334141732283465,0.192127856212687,95,94,0.291435263732643,106
"South Alabama",0.5,0.75,0.835891893835741,11685,20065,0.368031496062992,0.230725908176472,88,89,0.401307796632911,83
"South Carolina",0.29629830997311,0.648149154986555,0.888833913560916,13802,17948,0.434708661417323,0.25043433398019,84,78,0.320476211429031,100
"South Florida",0.786541265040533,0.893270632520267,0.805458565625842,21025,10725,0.662204724409449,0.476451321012736,32,31,0.643085840899872,29
"Southern Miss",0.719375382934268,0.859687691467134,0.779462576631296,12073,19677,0.380251968503937,0.254804708253093,80,87,0.500568115866025,65
"Stanford",0.367381936979902,0.683690968489951,1,18182,13568,0.572661417322835,0.391523439026277,53,51,0.435808430427547,80
"Syracuse",0.309633738879419,0.654816869439709,0.877814281848284,12157,19593,0.382897637795276,0.220092472222698,93,86,0.308833158018716,103
"TCU",0.66633632161364,0.83316816080682,0.818091413322427,20442,11308,0.643842519685039,0.438848030728902,41,36,0.578030188626326,41
"Temple",0.708931605504919,0.854465802752459,0.82011708144255,14344,17406,0.451779527559055,0.31658992544757,70,74,0.538197788685735,50
"Tennessee",0.637409042468761,0.818704521234381,0.982367125431445,24234,7516,0.763275590551181,0.613878443393006,18,19,0.671871656033091,25
"Texas",0.520573574187738,0.760286787093869,0.884146620968777,19311,12439,0.608220472440945,0.408848838891754,50,45,0.509582401869466,61
"Texas A&M",0.852391142469571,0.926195571234785,0.873943449615505,26968,4782,0.849385826771654,0.687529031716345,7,8,0.779756379238257,12
"Texas State",0.230225980022549,0.615112990011274,0.835653233887087,2738,29012,0.0862362204724409,0.04432724202166,127,127,0.157004796644591,124
"Texas Tech",0.700100043633228,0.850050021816614,0.824787216677264,19673,12077,0.619622047244095,0.434423456144282,43,41,0.591496393337286,39
"Toledo",0.846774508231225,0.923387254115612,0.772845678604773,19283,12467,0.607338582677165,0.433418585092624,44,46,0.638730207185178,30
"Troy",0.853444881347509,0.926722440673755,0.822837012802569,23667,8083,0.745417322834646,0.568411661952575,23,22,0.7166364654513,20
"Tulane",0.683537161242528,0.841768580621264,0.790671254264222,13520,18230,0.425826771653543,0.283414211238715,77,80,0.502244380295071,63
"Tulsa",0.620820173381912,0.810410086690956,0.799467888097979,11420,20330,0.359685039370079,0.233038800583035,87,93,0.450778875058199,77
"UCF",0.696350649690874,0.848175324845437,0.835128547543297,20842,10908,0.65644094488189,0.464980377058994,35,33,0.606508519398744,33
"UCLA",0.602867418680324,0.801433709340162,0.923169549505698,22204,9546,0.699338582677165,0.517412081798202,29,30,0.60414542310224,34
"UNLV",0.529191865554788,0.764595932777394,0.798635282754979,6282,25468,0.197858267716535,0.120818844765057,111,113,0.3477069526915,93
"USC",0.48441204793818,0.74220602396909,0.961840003878111,20114,11636,0.633511811023622,0.452253594084493,37,39,0.521788527719516,55
"Utah",0.714839183260811,0.857419591630405,0.821955037641364,15631,16119,0.492314960629921,0.346964065299436,62,66,0.555815432066415,48
"Utah State",0.459212559412742,0.729606279706371,0.836448674835566,9814,21936,0.309102362204724,0.188638435018582,97,97,0.359105945260666,89
"UTEP",0.111148867575706,0.555574433787853,0.855330566814118,4134,27616,0.130204724409449,0.0618732583941707,124,123,0.106780924072667,127
"UTSA",0.538718004813295,0.769359002406647,0.822393776372403,14855,16895,0.467874015748032,0.296031401656699,76,71,0.451316894834818,76
"Vanderbilt",0.388695031074553,0.694347515537277,0.902160481276113,13670,18080,0.430551181102362,0.26970280912627,78,79,0.377293924570023,86
"Virginia",0.458930358549467,0.729465179274734,0.878133486636006,17697,14053,0.557385826771653,0.357043413506421,61,54,0.454463352841322,75
"Virginia Tech",0.899871076839058,0.949935538419529,0.839714087539376,26356,5394,0.830110236220472,0.662157563303014,9,10,0.780459692200814,10
"Wake Forest",0.671394000425168,0.835697000212584,0.878615125482975,19184,12566,0.604220472440945,0.443652522141391,40,47,0.594671440101699,36
"Washington",0.950970537616042,0.975485268808021,0.77442342430315,27541,4209,0.867433070866142,0.655292461278423,10,5,0.780113597056729,11
"Washington State",0.771690666557184,0.885845333278592,0.833916786557502,25795,5955,0.81244094488189,0.600167425869897,20,12,0.699830848875152,22
"West Virginia",0.706947706527313,0.853473853263656,0.880084816865081,23633,8117,0.744346456692913,0.55910049240831,25,23,0.662898114119157,27
"Western Kentucky",0.525043186902082,0.762521593451041,0.859097388039383,17622,14128,0.555023622047244,0.363585045975881,55,55,0.485716694332716,70
"Western Michigan",0.864665009931567,0.932332504965784,0.838278499951846,24062,7688,0.757858267716535,0.59230738316435,21,20,0.735839480896367,17
"Wisconsin",0.857329627177602,0.928664813588801,0.941230940521516,23199,8551,0.730677165354331,0.638676182972207,12,26,0.781522502668334,9
"Wyoming",0.565694363421277,0.782847181710639,0.855553480428274,15039,16711,0.473669291338583,0.317248359116451,69,69,0.480544284768681,71
