Visitor.Team,Visitor.Score,Home.Team,Home.Score
Air Force,41,San Jose State,38
Arizona,17,Oregon State,42
Tulsa,35,UCF,20
Hawaii,14,Fresno State,13
South Florida,35,SMU,27
Marshall,14,Florida International,31
Penn State,39,Rutgers,0
Alabama A&M,0,Auburn,55
Oklahoma,56,West Virginia,28
Arkansas,58,Mississippi State,42
Presbyterian,7,South Alabama,31
Arizona State,18,Washington,44
Chattanooga,3,Alabama,31
Clemson,35,Wake Forest,13
Ole Miss,17,Vanderbilt,38
New Mexico,31,Colorado State,49
Ball State,20,Miami (OH),21
Akron,3,Ohio,9
Central Michigan,21,Eastern Michigan,26
Arkansas,24,Missouri,28
Northern Illinois,31,Kent State,21
Buffalo,19,Bowling Green,27
Baylor,35,Texas Tech,54
Nebraska,10,Iowa,40
TCU,31,Texas,9
Toledo,35,Western Michigan,55
Boise State,20,Air Force,27
Washington,45,Washington State,17
LSU,54,Texas A&M,39
North Carolina State,28,North Carolina,21
Houston,44,Memphis,48
Louisiana Tech,24,Southern Miss,39
Auburn,12,Alabama,30
Duke,21,Miami (FL),40
Florida Atlantic,56,Middle Tennessee,77
Boston College,17,Wake Forest,14
Nevada,45,UNLV,10
Florida International,28,Old Dominion,42
Kentucky,41,Louisville,38
Appalachian State,37,New Mexico State,7
Syracuse,61,Pittsburgh,76
San Jose State,16,Fresno State,14
Navy,75,SMU,31
Troy,40,Texas State,7
Arizona State,35,Arizona,56
Oregon,24,Oregon State,34
Georgia Tech,28,Georgia,27
Notre Dame,27,USC,45
Arkansas State,19,Louisiana-Lafayette,24
South Alabama,31,Idaho,38
Cincinnati,37,Tulsa,40
Illinois,21,Northwestern,42
Rutgers,13,Maryland,31
UCF,31,South Florida,48
Mississippi State,55,Ole Miss,20
Michigan,27,Ohio State,30
Tulane,38,Connecticut,13
Virginia,10,Virginia Tech,52
Minnesota,17,Wisconsin,31
West Virginia,49,Iowa State,19
Michigan State,12,Penn State,45
North Texas,24,UTEP,52
Purdue,24,Indiana,26
Kansas,19,Kansas State,34
Rice,17,Stanford,41
Utah,22,Colorado,27
UCLA,10,California,36
Utah State,10,BYU,28
Massachusetts,40,Hawaii,46
Charlotte,14,UTSA,33
East Carolina,10,Temple,37
Wyoming,35,New Mexico,56
Tennessee,34,Vanderbilt,45
Colorado State,63,San Diego State,31
Florida,13,Florida State,31
Western Kentucky,60,Marshall,6
South Carolina,7,Clemson,56
Louisiana Tech,44,Western Kentucky,58
Temple,34,Navy,10
Kansas State,30,TCU,6
Georgia State,12,Idaho,37
Baylor,21,West Virginia,24
Colorado,10,Washington,41
Alabama,54,Florida,16
Troy,24,Georgia Southern,28
Louisiana-Lafayette,30,Louisiana-Monroe,3
Western Michigan,29,Ohio,23
New Mexico State,28,South Alabama,35
Oklahoma State,20,Oklahoma,38
Clemson,42,Virginia Tech,35
San Diego State,27,Wyoming,24
Arkansas State,36,Texas State,14
Wisconsin,31,Penn State,38
Navy,17,Army,21
New Mexico,23,UTSA,20
Houston,10,San Diego State,34
Appalachian State,31,Toledo,28
Arkansas State,31,UCF,13
Southern Miss,28,Louisiana-Lafayette,21
Central Michigan,10,Tulsa,55
Memphis,31,Western Kentucky,51
BYU,24,Wyoming,21
Idaho,61,Colorado State,50
Louisiana Tech,48,Navy,45
Eastern Michigan,20,Old Dominion,24
Ohio,23,Troy,28
Hawaii,52,Middle Tennessee,35
Miami (OH),16,Mississippi State,17
Maryland,30,Boston College,36
North Carolina State,41,Vanderbilt,17
Temple,26,Wake Forest,34
Army,38,North Texas,31
Minnesota,17,Washington State,12
Boise State,12,Baylor,31
West Virginia,14,Miami (FL),31
Indiana,24,Utah,26
Pittsburgh,24,Northwestern,31
Texas A&M,28,Kansas State,33
Oklahoma State,38,Colorado,8
Arkansas,24,Virginia Tech,35
South Florida,46,South Carolina,39
Michigan,32,Florida State,33
Stanford,25,North Carolina,23
Nebraska,24,Tennessee,38
Georgia,31,TCU,23
South Alabama,21,Air Force,45
Washington,7,Alabama,24
Ohio State,0,Clemson,31
LSU,29,Louisville,9
Georgia Tech,33,Kentucky,18
USC,52,Penn State,49
Auburn,19,Oklahoma,35
Western Michigan,16,Wisconsin,24
Florida,30,Iowa,3
Clemson,35,Alabama,31
