"TEAM","Points.For","Points.Against","Conf.Points.For","Conf.Points.Against","CONF.W","CONF.L","OVERALL.W","OVERALL.L","ConferenceOffset","Adjusted.SoS","First.Pass.SoS","SoS.Score","SoS.Ranking","Value","Rank"
"Iowa",253,205,145,158,0.449302009488501,0.550697990511499,0.622130137461502,0.377869862538498,1.02003770631759,0.531976998155688,0.549400130240301,0.691111070079426,36,0.60986708186515,40
"Iowa State",247,317,180,240,0.33585822723678,0.66414177276322,0.356325884933817,0.643674115066183,1.0199203187251,0.537498621526176,0.555154759030313,0.713818785181254,32,0.431020546345119,96
"Kansas",200,393,117,307,0.0922658943217107,0.907734105678289,0.167853543367492,0.832146456632508,1.0199203187251,0.535381452575636,0.579789222008917,0.705111912921865,34,0.311244429001911,121
"Kansas State",280,216,169,183,0.452983757120163,0.547016242879837,0.649089984433212,0.350910015566788,1.0199203187251,0.517257557107169,0.506076429531124,0.63057726482673,50,0.613399253638475,36
"Kent State",219,271,143,144,0.495871157281781,0.504128842718219,0.37638477214863,0.62361522785137,0.984925005858917,0.476818142147241,0.489204050982574,0.464269885242934,84,0.407750283535871,101
"Kentucky",282,323,185,237,0.357309887825553,0.642690112174448,0.42025754212009,0.57974245787991,1.025,0.552649806635798,0.554060826531926,0.776128140933978,23,0.476480102847137,82
"Louisiana-Lafayette",211,244,132,136,0.482319494109119,0.517680505890881,0.414744722932278,0.585255277067722,0.975,0.42342930902812,0.422530304179137,0.24470793203773,122,0.4069064187642,102
"Louisiana-Monroe",260,397,181,200,0.441130758528062,0.558869241471938,0.26832970680325,0.73167029319675,0.975,0.448913156992083,0.459202136056512,0.349510436742562,106,0.323655003640479,118
"Louisiana Tech",504,328,330,196,0.774643241270967,0.225356758729033,0.734595221817642,0.265404778182358,0.982247931351517,0.405615704657798,0.383954818749769,0.17144935827482,126,0.606749366823861,43
"Louisville",496,203,367,161,0.875749372999808,0.124250627000192,0.892572043060223,0.107427956939777,1.00947282299374,0.492875526688008,0.476852619172178,0.530305992555329,63,0.761141399898094,7
"LSU",247,125,154,86,0.799115371675223,0.200884628324777,0.833986319398413,0.166013680601587,1.025,0.573423772767404,0.597010217196229,0.861561223344626,13,0.773869142464294,5
"Marshall",297,332,142,165,0.411981334766826,0.588018665233174,0.4343746046218,0.5656253953782,0.982247931351517,0.449728813858814,0.447437730286642,0.352864831366715,104,0.430940632875155,97
"Maryland",267,307,144,256,0.20365371876599,0.79634628123401,0.418033858039889,0.581966141960111,1.02003770631759,0.53336821704426,0.558928680372515,0.696832467582708,35,0.474316308186165,84
"Massachusetts",231,329,0,0,0.75,0.75,0.301929428072435,0.698070571927565,0.984925005858917,0.47023649506466,0.477486194558532,0.437202815139817,90,0.35501459346652,110
"Memphis",392,273,181,156,0.587170176174166,0.412829823825834,0.702126022779251,0.297873977220749,0.995521759117377,0.464357310214992,0.455363816350657,0.41302462592996,94,0.617096018043461,33
"Miami (FL)",348,193,168,140,0.60637551614466,0.39362448385534,0.801730313893167,0.198269686106833,1.00947282299374,0.517806893885564,0.508820699322037,0.632836416206996,49,0.710763531411016,12
"Miami (OH)",260,272,178,148,0.607647416958342,0.392352583041658,0.473291588552547,0.526708411447453,0.984925005858917,0.444627045451368,0.446382683127954,0.331883772765191,110,0.457322302683769,87
"Michigan",445,110,286,65,0.97101047679447,0.0289895232055302,0.964848289015871,0.0351517109841291,1.02003770631759,0.543992753544787,0.537361483788773,0.740525948965807,27,0.83883074891057,2
"Michigan State",261,271,183,199,0.450500110019133,0.549499889980867,0.477737668777491,0.522262331222509,1.02003770631759,0.530939574211141,0.520166482061869,0.686844656781755,37,0.501736765676094,71
"Middle Tennessee",366,326,195,213,0.447876685322248,0.552123314677752,0.568146821092901,0.431853178907099,0.982247931351517,0.438841829124536,0.417783979034149,0.308092029769051,113,0.508829842867661,67
"Minnesota",318,232,199,157,0.636875832450536,0.363124167549464,0.67858883466412,0.32141116533588,1.02003770631759,0.460875681925849,0.408768435496462,0.398706405005503,97,0.600443871415288,46
"Mississippi State",281,319,137,194,0.304815830495706,0.695184169504294,0.425410240996268,0.574589759003732,1.025,0.571810489255434,0.595492454242788,0.854926583509518,15,0.494156919880402,73
"Missouri",312,291,116,193,0.230309045255753,0.769690954744247,0.541191781390234,0.458808218609766,1.025,0.526353032427912,0.529851639177699,0.667982471310571,41,0.550847027335707,59
