TEAM,Points.For,Points.Against,Conf.Points.For,Conf.Points.Against,CONF.W,CONF.L,OVERALL.W,OVERALL.L,ConferenceOffset,Adjusted.SoS,First.Pass.SoS,SoS.Score,SoS.Ranking,Value,Rank
Army,330,210,6,44,0.008818381,0.991181619,0.744825957,0.255174043,1.009312749,0.384110088,0.353266337,0,128,0.620026962,38
Minnesota,364,275,245,200,0.617976853,0.382023147,0.660272133,0.339727867,1.020037706,0.506896716,0.481156405,0.589811597,58,0.612600873,39
South Florida,523,372,287,215,0.664755843,0.335244157,0.691561505,0.308438495,0.995521759,0.477809513,0.461998889,0.450089787,81,0.612286333,40
North Carolina,397,299,228,208,0.55418238,0.44581762,0.661923484,0.338076516,1.009472823,0.464289446,0.467287915,0.385145483,97,0.602700662,41
Utah,362,287,284,251,0.572668138,0.427331862,0.634187543,0.365812457,1.021608162,0.509543471,0.491759504,0.602525415,56,0.599389288,42
Tulsa,497,378,303,216,0.690431404,0.309568596,0.656708234,0.343291766,0.995521759,0.488844815,0.487374814,0.503098404,70,0.597575635,43
Northwestern,307,265,255,221,0.58398379,0.41601621,0.586294893,0.413705107,1.020037706,0.566588121,0.582813037,0.876542191,10,0.596859023,44
Louisiana Tech,528,367,354,235,0.725321965,0.274678035,0.703088908,0.296911092,0.982247931,0.419585076,0.409025714,0.170405846,124,0.594326637,45
TCU,374,303,244,218,0.566364955,0.433635045,0.622210075,0.377789925,1.019920319,0.501644654,0.501279043,0.564583057,60,0.593491359,46
Pittsburgh,508,427,357,309,0.584728467,0.415271533,0.601486549,0.398513451,1.009472823,0.535739142,0.544211132,0.728357605,36,0.587911665,47
Nebraska,321,273,191,214,0.433035954,0.566964046,0.594805511,0.405194489,1.020037706,0.537389131,0.533458146,0.736283408,34,0.585865174,48
UCF,361,289,232,194,0.604426565,0.395573435,0.62883204,0.37116796,0.995521759,0.475626621,0.487497011,0.439604158,85,0.579115279,49
Colorado State,409,334,308,224,0.68020963,0.31979037,0.617771669,0.382228331,0.982557525,0.495545883,0.53005932,0.535287313,64,0.578268726,50
Air Force,412,320,268,259,0.520228113,0.479771887,0.645405651,0.354594349,0.982557525,0.454585635,0.466125517,0.338532748,111,0.575430497,51
Notre Dame,371,334,71,34,0.851330774,0.148669226,0.561929055,0.438070945,1.009312749,0.563524304,0.586167435,0.861824995,14,0.575316862,52
North Carolina State,310,279,173,207,0.395262958,0.604737042,0.562103748,0.437896252,1.009472823,0.533263409,0.546952854,0.716465299,37,0.562330319,53
Old Dominion,432,334,313,217,0.70435953,0.29564047,0.647887077,0.352112923,0.982247931,0.420886736,0.416486601,0.17665843,122,0.560621528,54
