Team,Opponent,Score
Wyoming Cowboys,Nebraska Cornhuskers,0.18802723
Portland State Vikings,San Jose State Spartans,0.186703183
Delaware Fightin Blue Hens,Wake Forest Demon Deacons,0.184373325
Washington State Cougars,Boise State Broncos,0.183310609
Southern Utah Thunderbirds,Utah Utes,0.179467835
Western Kentucky Hilltoppers,Alabama Crimson Tide,0.179122047
UTEP Miners,Texas Longhorns,0.178814202
Monmouth Hawks,Kent State Golden Flashes,0.174948969
Kansas State Wildcats,Stanford Cardinal,0.173370387
Virginia Cavaliers,Richmond Spiders,0.167243981
William & Mary Tribe,North Carolina State Wolfpack,0.16418313
Missouri Tigers,West Virginia Mountaineers,0.15888911
Virginia Cavaliers,Oregon Ducks,0.156846404
Purdue Boilermakers,Cincinnati Bearcats,0.154500676
Nevada Wolf Pack,Notre Dame Fighting Irish,0.153554097
New Mexico State Aggies,UTEP Miners,0.152506255
South Carolina State Bulldogs,UCF Knights,0.149135143
East Carolina Pirates,South Carolina Gamecocks,0.148944557
Austin Peay Governors,Troy Trojans,0.146495416
Iowa State Cyclones,TCU Horned Frogs,0.146124788
Old Dominion Monarchs,North Carolina State Wolfpack,0.144294535
South Carolina State Bulldogs,Louisiana Tech Bulldogs,0.142208876
Mississippi State Bulldogs,LSU Tigers,0.142160272
Arkansas State Red Wolves,Utah State Aggies,0.142050207
Oklahoma Sooners,Ohio State Buckeyes,0.141972238
North Texas Mean Green,Florida Gators,0.140104517
Arkansas State Red Wolves,Auburn Tigers,0.136691964
UTEP Miners,Army Black Knights,0.131056414
San Jose State Spartans,Tulsa Golden Hurricane,0.129875561
North Texas Mean Green,SMU Mustangs,0.129551547
Bowling Green Falcons,Ohio State Buckeyes,0.129409409
New Hampshire Wildcats,San Diego State Aztecs,0.129258263
Presbyterian Blue Hose,Central Michigan Chippewas,0.1282322
Western Carolina Catamounts,East Carolina Pirates,0.123726732
Kentucky Wildcats,Florida Gators,0.123095332
Florida International Golden Panthers,Maryland Terrapins,0.121987781
Ball State Cardinals,Indiana Hoosiers,0.120822454
Towson Tigers,USF Bulls,0.120772106
Kansas Jayhawks,Ohio Bobcats,0.120742511
Utah State Aggies,USC Trojans,0.12058113
Wofford Terriers,Mississippi Rebels,0.115856397
Louisiana Tech Bulldogs,Texas Tech Red Raiders,0.114264294
Rice Owls,Western Kentucky Hilltoppers,0.114123223
Eastern Michigan Eagles,Missouri Tigers,0.113939288
Savannah State Tigers,Southern Miss Golden Eagles,0.113681491
South Carolina Gamecocks,Mississippi State Bulldogs,0.111028391
Hawaii Warriors,Michigan Wolverines,0.11044484
Eastern Kentucky Colonels,Purdue Boilermakers,0.109551762
Indiana State Sycamores,Minnesota Golden Gophers,0.108557939
Prairie View A&M Panthers,Texas A&M Aggies,0.108201177
Boston College Eagles,Virginia Tech Hokies,0.106153255
Hampton Pirates,Old Dominion Monarchs,0.105785382
Old Dominion Monarchs,Appalachian State Mountaineers,0.102218414
Lamar Cardinals,Houston Cougars,0.099778671
Akron Zips,Wisconsin Badgers,0.099379765
Stony Brook Seawolves,Temple Owls,0.096996535
Florida Atlantic Owls,Kansas State Wildcats,0.094322649
Northern Illinois Huskies,USF Bulls,0.093057838
Northern Colorado Bears,Colorado State Rams,0.092502073
Iowa State Cyclones,Iowa Hawkeyes,0.092388413
UCF Knights,Michigan Wolverines,0.0905623
Morgan State Bears,Marshall Thundering Herd,0.090021227
UC Davis Aggies,Wyoming Cowboys,0.090016465
Hawaii Warriors,Arizona Wildcats,0.087715345
Idaho Vandals,Washington Huskies,0.08541842
Idaho State Bengals,Colorado Buffaloes,0.082592942
Miami (OH) RedHawks,Iowa Hawkeyes,0.082309052
Weber State Wildcats,Utah State Aggies,0.079242805
Texas State Bobcats,Arkansas Razorbacks,0.078262891
Rhode Island Rams,Kansas Jayhawks,0.078140886
North Carolina A&T Aggies,Tulsa Golden Hurricane,0.077216785
Mississippi Valley State Delta Devils,Eastern Michigan Eagles,0.07691272
Southeast Missouri State Redhawks,Memphis Tigers,0.076905513
Northwestern State Demons,Baylor Bears,0.074254495
Appalachian State Mountaineers,Miami (FL) Hurricanes,0.074047439
Colorado State Rams,Colorado Buffaloes,0.074016085
Murray State Racers,Illinois Fighting Illini,0.072631051
Savannah State Tigers,Georgia Southern Eagles,0.071698478
South Carolina State Bulldogs,Clemson Tigers,0.070559059
Florida A&M Rattlers,Miami (FL) Hurricanes,0.067090258
Charleston Southern Buccaneers,Florida State Seminoles,0.06661515
North Carolina Central Eagles,Duke Blue Devils,0.066265256
Charlotte 49ers,Louisville Cardinals,0.063820818
Howard Bison,Maryland Terrapins,0.063275896
North Carolina Central Eagles,Western Michigan Broncos,0.062891462
Stephen F. Austin Lumberjacks,Texas Tech Red Raiders,0.06056274
Rutgers Scarlet Knights,Washington Huskies,0.059418503
Fordham Rams,Navy Midshipmen,0.056649126
Louisiana Ragin' Cajuns,Boise State Broncos,0.053718628
Louisiana-Monroe Warhawks,Oklahoma Sooners,0.053069628
Alabama A&M Bulldogs,Middle Tennessee Blue Raiders,0.05032673
Southern University Jaguars,Tulane Green Wave,0.048563046
Jackson State Tigers,UNLV Rebels,0.045727832
Southeastern Louisiana Lions,Oklahoma State Cowboys,0.044119781
Portland State Vikings,Washington Huskies,0.041953876
Syracuse Orange,Louisville Cardinals,0.039551091
