Visitor,Visitor Score,Home,Home Score
 Hawai'i,14, Utah State,30
 Iowa State,17, Oklahoma State,59
 Iowa,24, Illinois,27
 Kansas State,21, Kansas,52
 Kent State,30, Bowling Green,45
 Kentucky,14, Mississippi State,13
 Louisville,21, Syracuse,28
 Miami (Florida),24, Virginia,17
 Michigan,42, Purdue,48
 Missouri,31, Baylor,28
 Nebraska,28, Oklahoma,62
 North Texas,51, Western Kentucky,40
 Northwestern,24, Minnesota,17
 Oregon,16, California,26
 Pittsburgh,36, Notre Dame,33
 Rice,49, UTEP,44
 San Diego State,10, Wyoming,35
 San Jose State,30, Idaho,24
 Temple,27, Navy,33
 Tennessee,6, South Carolina,27
 TCU,44, UNLV,14
 Texas,33, Texas Tech,39
 Troy,30, Louisiana-Monroe,31
 Tulane,10, LSU,35
 Tulsa,23, Arkansas,30
 Air Force,16, Army,7
 Utah,13, New Mexico,10
 Washington State,0, Stanford,58
 Washington,0, USC,56
 West Virginia,35, Connecticut,13
 Wisconsin,24, Michigan State,25
 East Carolina,13, UCF,10
 Miami (Ohio),17, Buffalo,37
 Northern Illinois,14, Ball State,45
 Toledo,30, Akron,47
 Maryland,13, Virginia Tech,23
 TCU,10, Utah,13
 Nevada,41, Fresno State,28
 Alabama,27, LSU,21
 Arizona State,39, Washington,19
 Arizona,59, Washington State,28
 Arkansas State,21, Florida International,22
 Arkansas,21, South Carolina,34
 Baylor,21, Texas,45
 Bowling Green,28, Ohio,3
 California,3, USC,17
 Cincinnati,26, West Virginia,23
 Clemson,27, Florida State,41
 Colorado State,17, Air Force,38
 Florida,42, Vanderbilt,14
 Georgia Tech,7, North Carolina,28
 Georgia,42, Kentucky,38
 Hawai'i,42, New Mexico State,30
 Illinois,17, Western Michigan,23
 Iowa State,24, Colorado,28
 Kansas State,24, Missouri,41
 Kansas,35, Nebraska,45
 Louisiana Tech,21, San Jose State,0
 Louisville,7, Pittsburgh,41
 Marshall,16, East Carolina,19
 Memphis,31, SMU,26
 Michigan,29, Minnesota,6
 New Mexico,20, UNLV,27
 North Carolina State,27, Duke,17
 North Texas,13, Florida Atlantic,46
 Louisiana-Monroe,21, Middle Tennessee,24
 Notre Dame,0, Boston College,17
 Ohio State,45, Northwestern,10
 Oklahoma State,20, Texas Tech,56
 Oklahoma,66, Texas A&M,28
 Oregon State,34, UCLA,6
 Penn State,23, Iowa,24
 Purdue,7, Michigan State,21
 San Diego State,12, BYU,41
 Southern Mississippi,17, UCF,6
 Stanford,28, Oregon,35
 Syracuse,17, Rutgers,35
 Tennessee-Martin,20, Auburn,37
 UTEP,37, Louisiana-Lafayette,24
 Tulane,14, Houston,42
 Army,31, Rice,38
 Utah State,14, Boise State,49
