"TEAM","CONF.W","CONF.L","OVERALL.W","OVERALL.L","ConferenceOffset","Adjusted.SoS","First.Pass.SoS","SoS.Score","SoS.Ranking","Value","Rank"
"Miami (FL)",1,0,4,0,1.00947282299374,0.435342088952508,0.346783320016637,0.381714681278987,92,2.80861697365808,23
"Miami (OH)",0,1,0,5,0.984925005858917,0.515251814351305,0.627927888317448,0.597924816740212,38,0.206153959693347,127
"Michigan",1,0,4,0,1.02003770631759,0.57637410663859,0.604911304704809,0.763302172615013,15,2.92577799677245,10
"Michigan State",0,2,2,2,1.02003770631759,0.486683813860628,0.496195886098463,0.520628952874828,50,1.52876311293682,83
"Middle Tennessee",2,0,4,1,0.982247931351517,0.372610486334184,0.278556669250599,0.211983046836258,118,2.71053172098257,29
"Minnesota",0,1,3,1,1.02003770631759,0.406213589818871,0.315111918569517,0.302902287517959,107,2.14721742551883,52
"Mississippi State",1,1,2,2,1.025,0.471816392547152,0.451746250292946,0.480402470302106,67,1.52101330218342,86
"Missouri",0,2,2,3,1.025,0.537560351114145,0.607572064682447,0.658284575597649,26,1.5742537887665,78
"Navy",0,0,3,1,1.00931274900398,0.478707554421796,0.494519821029852,0.499047748270041,57,2.1850005513415,44
"Nebraska",2,0,5,0,1.02003770631759,0.453666309467243,0.371542758777356,0.431294155866592,84,3.52645489554601,6
"Nevada",0,1,2,3,0.982557525002033,0.363806659186405,0.310599642845186,0.188162708939977,120,1.41180403878287,104
"New Mexico",1,0,2,2,0.982557525002033,0.300688204033667,0.21206914688186,0.0173843753820683,127,1.37953341203255,105
"New Mexico State",0,1,1,3,0.975,0.469929030397246,0.46943208719283,0.475295872524939,68,0.80256542833767,122
"North Carolina",2,0,4,1,1.00947282299374,0.440818538041944,0.416275362834377,0.396532199341581,88,2.83200041653769,21
"North Carolina State",1,0,3,1,1.00947282299374,0.460005191720701,0.448783930213213,0.448445141980651,75,2.16995737296966,47
"North Texas",1,1,2,3,0.982247931351517,0.419594940994129,0.400801409745633,0.339107940031692,103,1.4408926936705,102
"Northern Illinois",1,0,1,4,0.984925005858917,0.555258332889277,0.692765013912399,0.706169648633441,20,0.884057199034786,109
"Northwestern",1,1,2,3,1.02003770631759,0.625810598420041,0.75415489303291,0.897061493291594,3,1.61647241752261,72
"Notre Dame",0,0,2,3,1.00931274900398,0.440802776150457,0.44411605618343,0.396489552709065,89,1.49516766451975,93
"Ohio",1,0,3,2,0.984925005858917,0.427318277620807,0.353496015936255,0.360004816474867,99,2.08590570024021,64
"Ohio State",1,0,4,0,1.02003770631759,0.516661338804113,0.46540039059985,0.601738538679019,37,2.87834253249582,14
"Oklahoma",1,0,2,2,1.0199203187251,0.621720022123543,0.717815414167506,0.885993703347797,4,1.60393193363464,73
"Oklahoma State",1,1,3,2,1.0199203187251,0.473154977933602,0.545303835079849,0.484024253837044,64,2.22522945787575,39
"Old Dominion",2,0,3,2,0.982247931351517,0.375775651539776,0.356823237270697,0.22054697061954,116,2.08132549159213,65
"Ole Miss",1,1,3,2,1.025,0.562606992281393,0.598465002626855,0.726052768425162,18,2.25447554256418,34
"Oregon",0,2,2,3,1.02160816194681,0.522877607094004,0.550383489209186,0.618557770660024,32,1.54956963752137,81
"Oregon State",0,1,1,3,1.02160816194681,0.554864858271332,0.641218083574417,0.70510503228015,21,0.899429983887043,107
"Penn State",1,1,3,2,1.02003770631759,0.578134193126361,0.637009547298846,0.768064403195147,13,2.25666666514488,33
"Pittsburgh",0,1,3,2,1.00947282299374,0.47512075046758,0.455423011251696,0.489343005012025,59,2.17219136359566,45
"Purdue",0,1,2,2,1.02003770631759,0.426394665894053,0.502593442947206,0.357505818817717,100,1.53093836267482,82
