"TEAM","Points.For","Points.Against","Conf.Points.For","Conf.Points.Against","CONF.W","CONF.L","OVERALL.W","OVERALL.L","ConferenceOffset","Adjusted.SoS","First.Pass.SoS","SoS.Score","SoS.Ranking","Value","Rank"
"LSU",84,67,36,38,0.468008933023506,0.531991066976493,0.630861470213703,0.369138529786297,1.025,0.514154360114007,0.574647914872428,0.593901832792035,40,0.62742670889411,43
"Marshall",128,124,0,0,0.75,0.75,0.518802233503463,0.481197766496537,0.982247931351517,0.460869684927589,0.47292179194,0.454771714381476,76,0.494570431034255,88
"Maryland",123,51,0,0,0.75,0.75,0.889579214993717,0.110420785006283,1.02003770631759,0.357602276335746,0.26049274584233,0.185133084980642,121,0.693507035693787,25
"Massachusetts",70,110,0,0,0.75,0.75,0.255174042835807,0.744825957164193,0.984925005858917,0.522757759157538,0.532738912156891,0.616365926332476,35,0.342454155815867,116
"Memphis",155,27,0,0,0.75,0.75,0.984354213451199,0.015645786548801,0.995521759117377,0.286699179205164,0.215915190452583,0,128,0.724946782186199,20
"Miami (FL)",153,23,0,0,0.75,0.75,0.988915011427859,0.0110849885721412,1.00947282299374,0.366942790785907,0.196836119093595,0.209521839850966,119,0.731755456460826,18
"Miami (OH)",82,124,0,0,0.75,0.75,0.272863470875044,0.727136529124956,0.984925005858917,0.533659301450562,0.632126507867197,0.644830637148104,28,0.386699105255084,110
"Michigan",208,55,49,10,0.977389866718692,0.022610133281308,0.95901048083697,0.0409895191630303,1.02003770631759,0.534323715403805,0.521788121917108,0.646565469755508,26,0.829565753826342,1
"Michigan State",70,71,6,30,0.02157586648953,0.97842413351047,0.491596395191266,0.508403604808734,1.02003770631759,0.51040643614472,0.532628447048209,0.584115733809232,42,0.51539827273878,78
"Middle Tennessee",158,102,38,34,0.565522213101268,0.434477786898731,0.738302555092576,0.261697444907424,0.982247931351517,0.373893487533883,0.256786078342623,0.227670608858163,118,0.567539969718118,64
"Minnesota",119,75,0,0,0.75,0.75,0.749148453386485,0.250851546613515,1.02003770631759,0.431545205573595,0.378026324586457,0.378203390176153,95,0.637973481742091,40
"Mississippi State",114,93,47,37,0.638064732514857,0.361935267485143,0.618345006836576,0.381654993163425,1.025,0.459880507235883,0.421022277493451,0.452188900300418,78,0.566385032815256,65
"Missouri",178,75,27,28,0.478465500725826,0.521534499274174,0.885783843088215,0.114216156911785,1.025,0.484936934319379,0.443939170707577,0.517613033128028,59,0.756964842768703,11
"Navy",101,54,0,0,0.75,0.75,0.815167474462389,0.184832525537611,1.00931274900398,0.435874843625924,0.398985949984858,0.389508386458629,94,0.68273981836324,29
"Nebraska",154,72,24,13,0.810468555735562,0.189531444264438,0.858377506464538,0.141622493535462,1.02003770631759,0.508173551118844,0.467982636884302,0.578285510448381,43,0.742838260407105,15
"Nevada",92,104,0,0,0.75,0.75,0.427864938530254,0.572135061469746,0.982557525002033,0.450149326122133,0.44253746811245,0.426780086680105,84,0.425207449821367,104
"New Mexico",107,90,0,0,0.75,0.75,0.601101167208583,0.398898832791417,0.982557525002033,0.355199161051476,0.275395914451806,0.178858378174509,122,0.483941759452011,91
"New Mexico State",102,183,6,52,0.00595247646129264,0.994047523538707,0.200159687204062,0.799840312795938,0.975,0.48874471973125,0.483753092168433,0.527555434641826,57,0.287323551637381,124
"North Carolina",165,120,37,36,0.516228190253578,0.483771809746422,0.680209630011626,0.319790369988374,1.00947282299374,0.407937642645834,0.403891290100946,0.31656234584149,105,0.593674517223837,58
"North Carolina State",127,69,0,0,0.75,0.75,0.809365246007314,0.190634753992686,1.00947282299374,0.403720849902661,0.346183525606698,0.305551996775499,110,0.66117576676939,35
"North Texas",104,121,42,35,0.60637551614466,0.39362448385534,0.411245927768743,0.588754072231257,0.982247931351517,0.416254483243667,0.373246686990612,0.338278214674884,100,0.391503903278501,108
"Northern Illinois",102,158,0,0,0.75,0.75,0.261697444907424,0.738302555092576,0.984925005858917,0.495646327352762,0.611534399252142,0.545576028410011,52,0.372606745561254,112
"Northwestern",65,68,13,24,0.189531444264438,0.810468555735562,0.473291588552547,0.526708411447453,1.02003770631759,0.619252082992403,0.712271249572954,0.868319544406015,10,0.564031354834484,69
"Notre Dame",149,134,0,0,0.75,0.75,0.562538880195487,0.437461119804513,1.00931274900398,0.5258952599048,0.557306011271761,0.624558166389349,32,0.566017129818869,67
"Ohio",147,126,0,0,0.75,0.75,0.590331781439531,0.409668218560469,0.984925005858917,0.448732840032929,0.374252197235678,0.423081539647054,86,0.510491804713711,82
"Ohio State",170,37,0,0,0.75,0.75,0.973762221358,0.0262377786420001,1.02003770631759,0.497629941400947,0.420353723206395,0.550755387323983,51,0.805108337735658,3
"Oklahoma",106,95,0,0,0.75,0.75,0.564553305340014,0.435446694659986,1.0199203187251,0.640249475390062,0.758949540620008,0.92314524579912,4,0.641888943868273,39
"Oklahoma State",157,110,24,35,0.290246466403799,0.709753533596201,0.699131191532201,0.300868808467799,1.0199203187251,0.475469011718011,0.567555666241416,0.492891606413466,68,0.668325923801181,33
"Old Dominion",116,120,33,19,0.787245720249767,0.212754279750233,0.479924129600292,0.520075870399707,0.982247931351517,0.407005972100396,0.430356923093955,0.314129687054457,106,0.455175388154323,96
"Ole Miss",160,120,88,62,0.696350649690874,0.303649350309126,0.66414177276322,0.33585822723678,1.025,0.528925319611737,0.512791341691007,0.632469870164261,30,0.629033919799295,42
"Oregon",167,130,38,41,0.455099632246905,0.544900367753095,0.64418813302318,0.35581186697682,1.02160816194681,0.535997241280675,0.547904829853543,0.650935166156911,25,0.62531991839999,47
"Oregon State",84,75,0,0,0.75,0.75,0.566746469898935,0.433253530101065,1.02160816194681,0.510786399102243,0.522461058116798,0.585107844413019,41,0.563912040026024,70
"Penn State",116,131,10,49,0.022610133281308,0.977389866718692,0.428442413687415,0.571557586312585,1.02003770631759,0.566942660526516,0.627325754250913,0.731735880975488,15,0.504650252457938,84
"Pittsburgh",144,128,36,37,0.483771809746422,0.516228190253578,0.569336791652969,0.43066320834703,1.00947282299374,0.482092221394303,0.465948047839441,0.510185283128142,62,0.539940642609715,73
"Purdue",89,76,0,0,0.75,0.75,0.592480742173614,0.407519257826386,1.02003770631759,0.358149863757469,0.380883632183856,0.186562875113694,120,0.532407020371654,74
"Rice",73,157,49,88,0.199779326152191,0.800220673847809,0.140045310668869,0.859954689331131,0.982247931351517,0.582968934676035,0.696065545045154,0.773581635168447,13,0.319609125035207,119
"Rutgers",109,104,7,14,0.162090019244604,0.837909980755396,0.527793333293178,0.472206666706822,1.02003770631759,0.540999170261267,0.617423588992221,0.663995562394973,23,0.568844514582057,63
