"TEAM","WIN.PERC","WIN.MULT","SoS.MULT","SIM.WINS","SIM.LOSSES","SIM.PERC","RANK.SCORE","RANK","SIMURANK","ALT.RANK.SCORE","ALT.RANK"
"Nebraska",0.825630540026497,0.912815270013248,0.883313868253896,24275,7475,0.764566929133858,0.616472140101641,17,20,0.741049580417525,16
"Nevada",0.384692146895989,0.692346073447995,0.776794243459603,4795,26955,0.151023622047244,0.0812220812785,123,123,0.249558970824362,111
"New Mexico",0.502687053566757,0.751343526783378,0.795800510886301,6007,25743,0.189196850393701,0.11312449800722,113,114,0.329758026160803,100
"New Mexico State",0.231144026250833,0.615572013125416,0.81727172418484,6106,25644,0.192314960629921,0.0967516567186616,116,113,0.190043304789336,121
"North Carolina",0.563545393353223,0.781772696676612,0.902679115503358,17802,13948,0.560692913385827,0.395675318330504,53,53,0.526031409273995,59
"North Carolina State",0.771162169127084,0.885581084563542,0.901247954322528,23009,8741,0.724692913385827,0.578397807647523,23,27,0.704903189379747,23
"North Texas",0.43864960242246,0.71932480121123,0.834819530935496,8106,23644,0.255307086614173,0.153313537725102,104,105,0.329231199097631,101
"Northern Illinois",0.322998602432655,0.661499301216328,0.916700555028196,13860,17890,0.436535433070866,0.264713679475282,80,75,0.342907143105853,98
"Northwestern",0.571653192949899,0.78582659647495,0.951175239599766,21462,10288,0.675968503937008,0.505258607592202,30,31,0.587817743160397,38
"Notre Dame",0.552378535488636,0.776189267744318,0.883681559192547,15871,15879,0.499874015748031,0.342865658054114,64,65,0.492042488919406,65
"Ohio",0.588547828138502,0.794273914069251,0.786096910041587,11703,20047,0.36859842519685,0.230144109696173,90,89,0.431303227806526,78
"Ohio State",0.96050681897864,0.98025340948932,0.894942905157571,30225,1525,0.951968503937008,0.835134203465743,3,2,0.890388676645936,2
"Oklahoma",0.614383475337011,0.807191737668505,0.963030037501174,24526,7224,0.772472440944882,0.60048136653115,20,18,0.651937307844229,26
"Oklahoma State",0.696085647689255,0.848042823844628,0.853598416091208,19672,12078,0.619590551181102,0.448514171859795,39,41,0.602648587947948,33
"Old Dominion",0.66414177276322,0.83207088638161,0.806355607058361,15890,15860,0.500472440944882,0.335789494253351,66,64,0.523847108547829,61
"Ole Miss",0.653800180325273,0.826900090162636,0.939427523766534,24707,7043,0.778173228346457,0.604494849773002,19,17,0.668856332409542,25
"Oregon",0.425147366918127,0.712573683459063,0.950124160765502,20696,11054,0.651842519685039,0.441319204938478,42,34,0.486576030024845,67
"Oregon State",0.381947535058979,0.690973767529489,0.929137968885033,13041,18709,0.410740157480315,0.263699273271716,81,83,0.373501357123668,87
"Penn State",0.540098589200216,0.770049294600108,0.9731092191882,23288,8462,0.73348031496063,0.549627655906667,27,25,0.59487671593439,36
"Pittsburgh",0.616937292947801,0.8084686464739,0.876504426989034,18134,13616,0.571149606299213,0.40473165951136,48,51,0.550882047728656,52
"Purdue",0.371455969243394,0.685727984621697,0.833551951772025,7166,24584,0.225700787401575,0.129008290493139,110,112,0.281652161240658,108
"Rice",0.18188596577989,0.590942982889945,0.928196324130261,7227,24523,0.227622047244094,0.12485322053991,112,111,0.188424605646549,122
"Rutgers",0.124663462349309,0.562331731174654,0.949529026947228,5578,26172,0.175685039370079,0.0938070797448777,117,117,0.137476063856967,126
"San Diego State",0.736117898331562,0.868058949165781,0.77646829490519,16496,15254,0.51955905511811,0.350193325330222,63,62,0.554234491283837,51
"San Jose State",0.300415595377222,0.650207797688611,0.820016438216128,3512,28238,0.110614173228346,0.0589773846063534,126,127,0.20110187541332,117
"SMU",0.306947608460401,0.6534738042302,0.890613809326511,10715,21035,0.33748031496063,0.196411111451119,95,94,0.294741290876596,106
"South Alabama",0.460036403255957,0.730018201627978,0.825678019134407,9301,22449,0.292944881889764,0.17657545192594,102,101,0.350876258076652,95
"South Carolina",0.29629830997311,0.648149154986555,0.891718880338703,13208,18542,0.416,0.240434204931268,88,82,0.314809864810314,103
"South Florida",0.780328350166237,0.890164175083118,0.826144230925653,21055,10695,0.663149606299213,0.487682871626268,33,33,0.65082571191145,27
"Southern Miss",0.612250007579652,0.806125003789826,0.832723341961823,10159,21591,0.319968503937008,0.214788171653307,94,96,0.446546082930922,75
"Stanford",0.414000868987648,0.707000434493824,0.985114089017916,18061,13689,0.568850393700787,0.396190697409022,52,52,0.461508857170524,74
"Syracuse",0.36662623234137,0.683313116170685,0.903669066807734,14751,16999,0.46459842519685,0.286884382608847,75,71,0.375738665230391,85
"TCU",0.66633632161364,0.83316816080682,0.827463272351807,20105,11645,0.633228346456693,0.436557787110262,43,38,0.578655337598423,42
"Temple",0.686255876991005,0.843127938495503,0.857804446038296,14479,17271,0.456031496062992,0.32981971494234,67,73,0.54445939362286,54
"Tennessee",0.511230674650925,0.755615337325462,1,21977,9773,0.692188976377953,0.523028606878793,29,29,0.571550108559934,45
"Texas",0.575621159104396,0.787810579552198,0.886412043993726,20528,11222,0.646551181102362,0.451502715246492,38,35,0.555675412505964,50
"Texas A&M",0.852391142469571,0.926195571234785,0.874364827176843,26539,5211,0.835874015748032,0.676918220177037,9,10,0.775491894564329,12
"Texas State",0.257419650882322,0.628709825441161,0.831647792245776,3258,28492,0.102614173228346,0.0536533738756938,128,128,0.17692638063409,124
"Texas Tech",0.613735183609977,0.806867591804989,0.857038337863325,16847,14903,0.530614173228346,0.366928434567399,59,58,0.527534445509007,57
