Visitor,Visitor Score,Home Team,Home Score
Georgia Tech,,North Carolina,
North Carolina State,,Louisville,
Eastern Michigan,,Massachusetts,
Western Michigan,,Bowling Green,
Ball State,,Central Michigan,
Georgia,,Arkansas,
San Jose State,,Wyoming,
New Mexico,,Air Force,
South Florida,,Tulsa,
UTSA,,Louisiana Tech,
Southern Miss,,North Texas,
Cincinnati,,SMU,
Appalachian State,,Troy,
Nevada,,BYU,
Army,,Kent State,
Stanford,,Arizona State,
Washington,,Oregon,
UCLA,,California,
UAB,,Middle Tennessee,
Rutgers,,Ohio State,
Texas A&M,,Alabama,
Colorado,,USC,
Michigan State,,Indiana,
Clemson,,Boston College,
Kansas State,,Oklahoma,
New Mexico State,,Idaho,
Georgia State,,South Alabama,
Western Kentucky,,Florida Atlantic,
Utah State,,Colorado State,
Tennessee,,Ole Miss,
Iowa State,,Texas,
Missouri,,Florida,
Kansas,,Texas Tech,
Oklahoma State,,TCU,
Tulane,,UCF,
Nebraska,,Northwestern,
Kentucky,,LSU,
Notre Dame,,Florida State,
Hawaii,,San Diego State,
Furman,,South Carolina,
Arkansas State,,Louisiana-Lafayette,
Connecticut,,East Carolina,
Miami (FL),,Virginia Tech,
Troy,,South Alabama,
South Florida,,Cincinnati,
BYU,,Boise State,
Oregon,,California,
South Carolina,,Auburn,
Northern Illinois,,Eastern Michigan,
Mississippi State,,Kentucky,
Syracuse,,Clemson,
Minnesota,,Illinois,
Akron,,Ball State,
Central Michigan,,Buffalo,
Ohio,,Western Michigan,
Boston College,,Wake Forest,
Temple,,UCF,
North Carolina,,Virginia,
Georgia Tech,,Pittsburgh,
Maryland,,Wisconsin,
Vanderbilt,,Missouri,
San Jose State,,Navy,
UNLV,,Utah State,
Massachusetts,,Toledo,
UCLA,,Colorado,
Rutgers,,Nebraska,
Kent State,,Miami (OH),
UAB,,Arkansas,
Texas Tech,,TCU,
Memphis,,SMU,
Oregon State,,Stanford,
Alabama,,Tennessee,
Michigan,,Michigan State,
Wyoming,,Colorado State,
Ole Miss,,LSU,
Arizona,,Washington State,
USC,,Utah,
Georgia Southern,,Georgia State,
North Texas,,Rice,
Louisiana Tech,,Southern Miss,
UTEP,,UTSA,
Florida Atlantic,,Marshall,
Texas State,,Louisiana-Monroe,
Old Dominion,,Western Kentucky,
West Virginia,,Oklahoma State,
Texas,,Kansas State,
Ohio State,,Penn State,
Arizona State,,Washington,
Nevada,,Hawaii,
Troy,,Georgia Southern,
Florida State,,Louisville,
Tulsa,,Memphis,
Cincinnati,,Tulane,
Notre Dame,,Navy,
Boston College,,Virginia Tech,
East Carolina,,Temple,
UCF,,Connecticut,
Wisconsin,,Rutgers,
North Carolina State,,Syracuse,
Duke,,Pittsburgh,
Maryland,,Penn State,
North Carolina,,Miami (FL),
Georgia State,,Appalachian State,
Air Force,,Army,
Central Michigan,,Eastern Michigan,
Northwestern,,Iowa,
Texas,,Texas Tech,
Purdue,,Nebraska,
Kansas,,Baylor,
Western Michigan,,Miami (OH),
Auburn,,Ole Miss,
Kentucky,,Missouri,
Arkansas,,Mississippi State,
Western Kentucky,,Louisiana Tech,
Louisiana-Monroe,,Texas A&M,
BYU,,Middle Tennessee,
Tennessee,,South Carolina,
Florida,,Georgia,
USC,,Washington State,
Stanford,,Oregon,
Oklahoma,,Iowa State,
Oklahoma State,,Kansas State,
Indiana,,Michigan,
Virginia,,Georgia Tech,
Arkansas State,,Idaho,
South Alabama,,Louisiana-Lafayette,
Old Dominion,,Vanderbilt,
Rice,,Florida International,
Washington,,Colorado,
California,,Oregon State,
Arizona,,UCLA,
Colorado State,,San Jose State,
Utah,,Arizona State,
TCU,,West Virginia,
Houston,,South Florida,
UAB,,Florida Atlantic,
Southern Miss,,UTEP,
New Mexico,,UNLV,
Texas State,,New Mexico State,
Illinois,,Ohio State,
Wyoming,,Fresno State,
San Diego State,,Nevada,
Utah State,,Hawaii,
Bowling Green,,Akron,
Toledo,,Kent State,
Buffalo,,Ohio,
Northern Illinois,,Ball State,
Clemson,,Wake Forest,
Memphis,,Temple,
Utah State,,Wyoming,
Air Force,,UNLV,
Georgia Tech,,North Carolina State,
Iowa,,Minnesota,
SMU,,Tulsa,
UTSA,,Rice,
Wisconsin,,Purdue,
Georgia State,,Troy,
Louisiana-Monroe,,Appalachian State,
Connecticut,,Army,
Duke,,Syracuse,
Florida,,Vanderbilt,
Georgia,,Kentucky,
Iowa State,,Kansas,
Michigan,,Northwestern,
Ohio State,,Michigan State,
Penn State,,Indiana,
Presbyterian,,Ole Miss,
Tennessee-Martin,,Mississippi State,
South Alabama,,Arkansas State,
Alabama,,LSU,
Idaho,,San Diego State,
Boise State,,New Mexico,
Florida Atlantic,,North Texas,
Florida International,,Old Dominion,
Hawaii,,Colorado State,
Louisiana Tech,,UAB,
Marshall,,Southern Miss,
Georgia Southern,,Texas State,
Kansas State,,TCU,
Texas A&M,,Auburn,
Virginia,,Florida State,
Baylor,,Oklahoma,
Louisville,,Boston College,
Louisiana-Lafayette,,New Mexico State,
UTEP,,Western Kentucky,
West Virginia,,Texas,
Tulane,,Houston,
Notre Dame,,Arizona State,
Oregon,,Utah,
UCLA,,Washington,
Washington State,,Oregon State,
